last_name,first_name,type,state,party
McKinley,David,rep,WV,Republican
McMorris Rodgers,Cathy,rep,WA,Republican
McNerney,Jerry,rep,CA,Democrat
Meeks,Gregory,rep,NY,Democrat
Moore,Gwen,rep,WI,Democrat
Moran,Jerry,sen,KS,Republican
Murkowski,Lisa,sen,AK,Republican
Murphy,Christopher,sen,CT,Democrat
Murray,Patty,sen,WA,Democrat
Nadler,Jerrold,rep,NY,Democrat
Napolitano,Grace,rep,CA,Democrat
Neal,Richard,rep,MA,Democrat
Norton,Eleanor,rep,DC,Democrat
Nunes,Devin,rep,CA,Republican
Olson,Pete,rep,TX,Republican
Palazzo,Steven,rep,MS,Republican
Pallone,Frank,rep,NJ,Democrat
Pascrell,Bill,rep,NJ,Democrat
Paul,Rand,sen,KY,Republican
Pelosi,Nancy,rep,CA,Democrat
Perlmutter,Ed,rep,CO,Democrat
Peters,Gary,sen,MI,Democrat
Peterson,Collin,rep,MN,Democrat
Pingree,Chellie,rep,ME,Democrat
Portman,Robert,sen,OH,Republican
Posey,Bill,rep,FL,Republican
Price,David,rep,NC,Democrat
Quigley,Mike,rep,IL,Democrat
Reed,Tom,rep,NY,Republican
Richmond,Cedric,rep,LA,Democrat
Roby,Martha,rep,AL,Republican
Roe,David,rep,TN,Republican
Rogers,Harold,rep,KY,Republican
Rogers,Mike,rep,AL,Republican
Roybal-Allard,Lucille,rep,CA,Democrat
Rubio,Marco,sen,FL,Republican
Ruppersberger,C.,rep,MD,Democrat
Rush,Bobby,rep,IL,Democrat
Ryan,Tim,rep,OH,Democrat
Sablan,Gregorio,rep,MP,Democrat
Sarbanes,John,rep,MD,Democrat
Scalise,Steve,rep,LA,Republican
Schakowsky,Janice,rep,IL,Democrat
Schiff,Adam,rep,CA,Democrat
Schrader,Kurt,rep,OR,Democrat
Schumer,Charles,sen,NY,Democrat
Schweikert,David,rep,AZ,Republican
Scott,Austin,rep,GA,Republican
Scott,David,rep,GA,Democrat
Scott,Robert,rep,VA,Democrat
Scott,Tim,sen,SC,Republican
Sensenbrenner,F.,rep,WI,Republican
Serrano,José,rep,NY,Democrat
Sewell,Terri,rep,AL,Democrat
Shelby,Richard,sen,AL,Republican
Sherman,Brad,rep,CA,Democrat
Shimkus,John,rep,IL,Republican
Simpson,Michael,rep,ID,Republican
Sires,Albio,rep,NJ,Democrat
Smith,Adam,rep,WA,Democrat
Smith,Adrian,rep,NE,Republican
Smith,Christopher,rep,NJ,Republican
Speier,Jackie,rep,CA,Democrat
Stivers,Steve,rep,OH,Republican
Sánchez,Linda,rep,CA,Democrat
Thompson,Bennie,rep,MS,Democrat
Thompson,Mike,rep,CA,Democrat
Thompson,Glenn,rep,PA,Republican
Thornberry,Mac,rep,TX,Republican
Thune,John,sen,SD,Republican
Tipton,Scott,rep,CO,Republican
Tonko,Paul,rep,NY,Democrat
Toomey,Patrick,sen,PA,Republican
Turner,Michael,rep,OH,Republican
Upton,Fred,rep,MI,Republican
Van Hollen,Chris,sen,MD,Democrat
Velázquez,Nydia,rep,NY,Democrat
Visclosky,Peter,rep,IN,Democrat
Walberg,Tim,rep,MI,Republican
Walden,Greg,rep,OR,Republican
Wasserman Schultz,Debbie,rep,FL,Democrat
Waters,Maxine,rep,CA,Democrat
Webster,Daniel,rep,FL,Republican
Welch,Peter,rep,VT,Democrat
Wilson,Joe,rep,SC,Republican
Wilson,Frederica,rep,FL,Democrat
Wittman,Robert,rep,VA,Republican
Womack,Steve,rep,AR,Republican
Woodall,Rob,rep,GA,Republican
Wyden,Ron,sen,OR,Democrat
Yarmuth,John,rep,KY,Democrat
Young,Don,rep,AK,Republican
