last_name,first_name,gender,type,state,party
Brown,Sherrod,M,sen,OH,Democrat
Cantwell,Maria,F,sen,WA,Democrat
Cardin,Benjamin,M,sen,MD,Democrat
Carper,Thomas,M,sen,DE,Democrat
Casey,Robert,M,sen,PA,Democrat
Feinstein,Dianne,F,sen,CA,Democrat
Klobuchar,Amy,F,sen,MN,Democrat
Menendez,Robert,M,sen,NJ,Democrat
Sanders,Bernard,M,sen,VT,Independent
