last_name,first_name,gender,type,state,party
Luetkemeyer,Blaine,M,House,MO,Republican
Luján,Ben,M,House,NM,Democrat
Lynch,Stephen,M,House,MA,Democrat
Maloney,Carolyn,F,House,NY,Democrat
Marchant,Kenny,M,House,TX,Republican
Markey,Edward,M,Senate,MA,Democrat
Matsui,Doris,F,House,CA,Democrat
McCarthy,Kevin,M,House,CA,Republican
McCaul,Michael,M,House,TX,Republican
McClintock,Tom,M,House,CA,Republican
McCollum,Betty,F,House,MN,Democrat
McGovern,James,M,House,MA,Democrat
McHenry,Patrick,M,House,NC,Republican
McKinley,David,M,House,WV,Republican
McMorris Rodgers,Cathy,F,House,WA,Republican
McNerney,Jerry,M,House,CA,Democrat
Meeks,Gregory,M,House,NY,Democrat
Moore,Gwen,F,House,WI,Democrat
Moran,Jerry,M,Senate,KS,Republican
Murkowski,Lisa,F,Senate,AK,Republican
Murphy,Christopher,M,Senate,CT,Democrat
Murray,Patty,F,Senate,WA,Democrat
Nadler,Jerrold,M,House,NY,Democrat
Napolitano,Grace,F,House,CA,Democrat
Neal,Richard,M,House,MA,Democrat
Norton,Eleanor,F,House,DC,Democrat
Nunes,Devin,M,House,CA,Republican
Olson,Pete,M,House,TX,Republican
Palazzo,Steven,M,House,MS,Republican
Pallone,Frank,M,House,NJ,Democrat
Pascrell,Bill,M,House,NJ,Democrat
Paul,Rand,M,Senate,KY,Republican
Pelosi,Nancy,F,House,CA,Democrat
Perlmutter,Ed,M,House,CO,Democrat
Peters,Gary,M,Senate,MI,Democrat
Peterson,Collin,M,House,MN,Democrat
Pingree,Chellie,F,House,ME,Democrat
Portman,Robert,M,Senate,OH,Republican
Posey,Bill,M,House,FL,Republican
Price,David,M,House,NC,Democrat
Quigley,Mike,M,House,IL,Democrat
Reed,Tom,M,House,NY,Republican
Richmond,Cedric,M,House,LA,Democrat
Roby,Martha,F,House,AL,Republican
Roe,David,M,House,TN,Republican
Rogers,Harold,M,House,KY,Republican
Rogers,Mike,M,House,AL,Republican
Roybal-Allard,Lucille,F,House,CA,Democrat
Rubio,Marco,M,Senate,FL,Republican
Ruppersberger,C.,M,House,MD,Democrat
Rush,Bobby,M,House,IL,Democrat
Ryan,Tim,M,House,OH,Democrat
Sablan,Gregorio,M,House,MP,Democrat
Sarbanes,John,M,House,MD,Democrat
Scalise,Steve,M,House,LA,Republican
Schakowsky,Janice,F,House,IL,Democrat
Schiff,Adam,M,House,CA,Democrat
Schrader,Kurt,M,House,OR,Democrat
Schumer,Charles,M,Senate,NY,Democrat
Schweikert,David,M,House,AZ,Republican
Scott,Austin,M,House,GA,Republican
Scott,David,M,House,GA,Democrat
Scott,Robert,M,House,VA,Democrat
Scott,Tim,M,Senate,SC,Republican
Sensenbrenner,F.,M,House,WI,Republican
Serrano,José,M,House,NY,Democrat
Sewell,Terri,F,House,AL,Democrat
Shelby,Richard,M,Senate,AL,Republican
Sherman,Brad,M,House,CA,Democrat
Shimkus,John,M,House,IL,Republican
Simpson,Michael,M,House,ID,Republican
Sires,Albio,M,House,NJ,Democrat
Smith,Adam,M,House,WA,Democrat
Smith,Adrian,M,House,NE,Republican
Smith,Christopher,M,House,NJ,Republican
Speier,Jackie,F,House,CA,Democrat
Stivers,Steve,M,House,OH,Republican
Sánchez,Linda,F,House,CA,Democrat
Thompson,Bennie,M,House,MS,Democrat
Thompson,Mike,M,House,CA,Democrat
Thompson,Glenn,M,House,PA,Republican
Thornberry,Mac,M,House,TX,Republican
Thune,John,M,Senate,SD,Republican
Tipton,Scott,M,House,CO,Republican
Tonko,Paul,M,House,NY,Democrat
Toomey,Patrick,M,Senate,PA,Republican
Turner,Michael,M,House,OH,Republican
Upton,Fred,M,House,MI,Republican
Van Hollen,Chris,M,Senate,MD,Democrat
Velázquez,Nydia,F,House,NY,Democrat
Visclosky,Peter,M,House,IN,Democrat
Walberg,Tim,M,House,MI,Republican
Walden,Greg,M,House,OR,Republican
Wasserman Schultz,Debbie,F,House,FL,Democrat
Waters,Maxine,F,House,CA,Democrat
Webster,Daniel,M,House,FL,Republican
Welch,Peter,M,House,VT,Democrat
Wilson,Joe,M,House,SC,Republican
Wilson,Frederica,F,House,FL,Democrat
Wittman,Robert,M,House,VA,Republican
Womack,Steve,M,House,AR,Republican
Woodall,Rob,M,House,GA,Republican
Wyden,Ron,M,Senate,OR,Democrat
Yarmuth,John,M,House,KY,Democrat
Young,Don,M,House,AK,Republican
Young,Todd,M,Senate,IN,Republican
Amodei,Mark,M,House,NV,Republican
Bonamici,Suzanne,F,House,OR,Democrat
DelBene,Suzan,F,House,WA,Democrat
Massie,Thomas,M,House,KY,Republican
Payne,Donald,M,House,NJ,Democrat
Schatz,Brian,M,Senate,HI,Democrat
Foster,Bill,M,House,IL,Democrat
Titus,Dina,F,House,NV,Democrat
Cotton,Tom,M,Senate,AR,Republican
Sinema,Kyrsten,F,Senate,AZ,Democrat
LaMalfa,Doug,M,House,CA,Republican
Huffman,Jared,M,House,CA,Democrat
Bera,Ami,M,House,CA,Democrat
Cook,Paul,M,House,CA,Republican
Swalwell,Eric,M,House,CA,Democrat
Brownley,Julia,F,House,CA,Democrat
Cárdenas,Tony,M,House,CA,Democrat
Ruiz,Raul,M,House,CA,Democrat
Takano,Mark,M,House,CA,Democrat
Lowenthal,Alan,M,House,CA,Democrat
Vargas,Juan,M,House,CA,Democrat
Peters,Scott,M,House,CA,Democrat
Yoho,Ted,M,House,FL,Republican
Frankel,Lois,F,House,FL,Democrat
Collins,Doug,M,House,GA,Republican
Gabbard,Tulsi,F,House,HI,Democrat
Duckworth,Tammy,F,Senate,IL,Democrat
Davis,Rodney,M,House,IL,Republican
Bustos,Cheri,F,House,IL,Democrat
Walorski,Jackie,F,House,IN,Republican
Brooks,Susan,F,House,IN,Republican
Barr,Garland,M,House,KY,Republican
Warren,Elizabeth,F,Senate,MA,Democrat
Kennedy,Joseph,M,House,MA,Democrat
King,Angus,M,Senate,ME,Independent
Kildee,Daniel,M,House,MI,Democrat
Wagner,Ann,F,House,MO,Republican
Daines,Steve,M,Senate,MT,Republican
Hudson,Richard,M,House,NC,Republican
Meadows,Mark,M,House,NC,Republican
Holding,George,M,House,NC,Republican
Cramer,Kevin,M,Senate,ND,Republican
Fischer,Deb,F,Senate,NE,Republican
Kuster,Ann,F,House,NH,Democrat
Meng,Grace,F,House,NY,Democrat
Jeffries,Hakeem,M,House,NY,Democrat
Maloney,Sean,M,House,NY,Democrat
Wenstrup,Brad,M,House,OH,Republican
Beatty,Joyce,F,House,OH,Democrat
Joyce,David,M,House,OH,Republican
Mullin,Markwayne,M,House,OK,Republican
Perry,Scott,M,House,PA,Republican
Cartwright,Matthew,M,House,PA,Democrat
Rice,Tom,M,House,SC,Republican
Cruz,Ted,M,Senate,TX,Republican
Weber,Randy,M,House,TX,Republican
Castro,Joaquin,M,House,TX,Democrat
Williams,Roger,M,House,TX,Republican
Veasey,Marc,M,House,TX,Democrat
Vela,Filemon,M,House,TX,Democrat
Stewart,Chris,M,House,UT,Republican
Kaine,Timothy,M,Senate,VA,Democrat
Kilmer,Derek,M,House,WA,Democrat
Heck,Denny,M,House,WA,Democrat
Pocan,Mark,M,House,WI,Democrat
Kelly,Robin,F,House,IL,Democrat
Smith,Jason,M,House,MO,Republican
Booker,Cory,M,Senate,NJ,Democrat
Clark,Katherine,F,House,MA,Democrat
Byrne,Bradley,M,House,AL,Republican
Norcross,Donald,M,House,NJ,Democrat
Adams,Alma,F,House,NC,Democrat
Palmer,Gary,M,House,AL,Republican
Hill,French,M,House,AR,Republican
Westerman,Bruce,M,House,AR,Republican
Gallego,Ruben,M,House,AZ,Democrat
DeSaulnier,Mark,M,House,CA,Democrat
Aguilar,Pete,M,House,CA,Democrat
Lieu,Ted,M,House,CA,Democrat
Torres,Norma,F,House,CA,Democrat
Buck,Ken,M,House,CO,Republican
Carter,Buddy,M,House,GA,Republican
Hice,Jody,M,House,GA,Republican
Loudermilk,Barry,M,House,GA,Republican
Allen,Rick,M,House,GA,Republican
Bost,Mike,M,House,IL,Republican
Abraham,Ralph,M,House,LA,Republican
Graves,Garret,M,House,LA,Republican
Moulton,Seth,M,House,MA,Democrat
Moolenaar,John,M,House,MI,Republican
Dingell,Debbie,F,House,MI,Democrat
Lawrence,Brenda,F,House,MI,Democrat
Emmer,Tom,M,House,MN,Republican
Rouzer,David,M,House,NC,Republican
Watson Coleman,Bonnie,F,House,NJ,Democrat
Zeldin,Lee,M,House,NY,Republican
Rice,Kathleen,F,House,NY,Democrat
Stefanik,Elise,F,House,NY,Republican
Katko,John,M,House,NY,Republican
Boyle,Brendan,M,House,PA,Democrat
Ratcliffe,John,M,House,TX,Republican
Hurd,Will,M,House,TX,Republican
Babin,Brian,M,House,TX,Republican
Beyer,Donald,M,House,VA,Democrat
Plaskett,Stacey,F,House,VI,Democrat
Newhouse,Dan,M,House,WA,Republican
Grothman,Glenn,M,House,WI,Republican
Mooney,Alex,M,House,WV,Republican
Amata,Aumua,F,House,AS,Republican
Sullivan,Dan,M,Senate,AK,Republican
Perdue,David,M,Senate,GA,Republican
Ernst,Joni,F,Senate,IA,Republican
Tillis,Thom,M,Senate,NC,Republican
Rounds,Mike,M,Senate,SD,Republican
Walker,Mark,M,House,NC,Republican
Sasse,Benjamin,M,Senate,NE,Republican
Kelly,Trent,M,House,MS,Republican
LaHood,Darin,M,House,IL,Republican
Davidson,Warren,M,House,OH,Republican
Comer,James,M,House,KY,Republican
Evans,Dwight,M,House,PA,Democrat
Harris,Kamala,F,Senate,CA,Democrat
Kennedy,John,M,Senate,LA,Republican
Hassan,Margaret,F,Senate,NH,Democrat
Cortez Masto,Catherine,F,Senate,NV,Democrat
Schneider,Bradley,M,House,IL,Democrat
O’Halleran,Tom,M,House,AZ,Democrat
Biggs,Andy,M,House,AZ,Republican
Khanna,Ro,M,House,CA,Democrat
Panetta,Jimmy,M,House,CA,Democrat
Carbajal,Salud,M,House,CA,Democrat
Barragán,Nanette,F,House,CA,Democrat
Correa,J.,M,House,CA,Democrat
Blunt Rochester,Lisa,F,House,DE,Democrat
Gaetz,Matt,M,House,FL,Republican
Dunn,Neal,M,House,FL,Republican
Rutherford,John,M,House,FL,Republican
Lawson,Al,M,House,FL,Democrat
Murphy,Stephanie,F,House,FL,Democrat
Soto,Darren,M,House,FL,Democrat
Demings,Val,F,House,FL,Democrat
Crist,Charlie,M,House,FL,Democrat
Mast,Brian,M,House,FL,Republican
Rooney,Francis,M,House,FL,Republican
Ferguson,A.,M,House,GA,Republican
Krishnamoorthi,Raja,M,House,IL,Democrat
Banks,Jim,M,House,IN,Republican
Hollingsworth,Trey,M,House,IN,Republican
Marshall,Roger,M,House,KS,Republican
Higgins,Clay,M,House,LA,Republican
Johnson,Mike,M,House,LA,Republican
Brown,Anthony,M,House,MD,Democrat
Raskin,Jamie,M,House,MD,Democrat
Bergman,Jack,M,House,MI,Republican
Mitchell,Paul,M,House,MI,Republican
Budd,Ted,M,House,NC,Republican
Bacon,Don,M,House,NE,Republican
Gottheimer,Josh,M,House,NJ,Democrat
Rosen,Jacky,F,Senate,NV,Democrat
Suozzi,Thomas,M,House,NY,Democrat
Espaillat,Adriano,M,House,NY,Democrat
Fitzpatrick,Brian,M,House,PA,Republican
Smucker,Lloyd,M,House,PA,Republican
González-Colón,Jenniffer,F,House,PR,Republican
Kustoff,David,M,House,TN,Republican
Gonzalez,Vicente,M,House,TX,Democrat
Arrington,Jodey,M,House,TX,Republican
McEachin,A.,M,House,VA,Democrat
Jayapal,Pramila,F,House,WA,Democrat
Gallagher,Mike,M,House,WI,Republican
Cheney,Liz,F,House,WY,Republican
Estes,Ron,M,House,KS,Republican
Gianforte,Greg,M,House,MT,Republican
Norman,Ralph,M,House,SC,Republican
Gomez,Jimmy,M,House,CA,Democrat
Curtis,John,M,House,UT,Republican
Jones,Doug,M,Senate,AL,Democrat
Smith,Tina,F,Senate,MN,Democrat
Hyde-Smith,Cindy,F,Senate,MS,Republican
Lamb,Conor,M,House,PA,Democrat
Lesko,Debbie,F,House,AZ,Republican
Cloud,Michael,M,House,TX,Republican
Balderson,Troy,M,House,OH,Republican
Hern,Kevin,M,House,OK,Republican
Morelle,Joseph,M,House,NY,Democrat
Scanlon,Mary,F,House,PA,Democrat
Wild,Susan,F,House,PA,Democrat
Case,Ed,M,House,HI,Democrat
Horsford,Steven,M,House,NV,Democrat
Kirkpatrick,Ann,F,House,AZ,Democrat
Stanton,Greg,M,House,AZ,Democrat
Harder,Josh,M,House,CA,Democrat
Cox,TJ,M,House,CA,Democrat
Cisneros,Gilbert,M,House,CA,Democrat
Porter,Katie,F,House,CA,Democrat
Rouda,Harley,M,House,CA,Democrat
Levin,Mike,M,House,CA,Democrat
Neguse,Joe,M,House,CO,Democrat
Crow,Jason,M,House,CO,Democrat
Hayes,Jahana,F,House,CT,Democrat
Waltz,Michael,M,House,FL,Republican
Spano,Ross,M,House,FL,Republican
Steube,W.,M,House,FL,Republican
Mucarsel-Powell,Debbie,F,House,FL,Democrat
Shalala,Donna,F,House,FL,Democrat
McBath,Lucy,F,House,GA,Democrat
San Nicolas,Michael,M,House,GU,Democrat
Finkenauer,Abby,F,House,IA,Democrat
Axne,Cynthia,F,House,IA,Democrat
Fulcher,Russ,M,House,ID,Republican
García,Jesús,M,House,IL,Democrat
Casten,Sean,M,House,IL,Democrat
Underwood,Lauren,F,House,IL,Democrat
Baird,James,M,House,IN,Republican
Pence,Greg,M,House,IN,Republican
Watkins,Steven,M,House,KS,Republican
Davids,Sharice,F,House,KS,Democrat
Trahan,Lori,F,House,MA,Democrat
Pressley,Ayanna,F,House,MA,Democrat
Trone,David,M,House,MD,Democrat
Slotkin,Elissa,F,House,MI,Democrat
Levin,Andy,M,House,MI,Democrat
Stevens,Haley,F,House,MI,Democrat
Tlaib,Rashida,F,House,MI,Democrat
Hagedorn,Jim,M,House,MN,Republican
Craig,Angie,F,House,MN,Democrat
Phillips,Dean,M,House,MN,Democrat
Omar,Ilhan,F,House,MN,Democrat
Stauber,Pete,M,House,MN,Republican
Guest,Michael,M,House,MS,Republican
Armstrong,Kelly,M,House,ND,Republican
Pappas,Chris,M,House,NH,Democrat
Van Drew,Jefferson,M,House,NJ,Democrat
Kim,Andy,M,House,NJ,Democrat
Malinowski,Tom,M,House,NJ,Democrat
Sherrill,Mikie,F,House,NJ,Democrat
Haaland,Debra,F,House,NM,Democrat
Torres Small,Xochitl,F,House,NM,Democrat
Lee,Susie,F,House,NV,Democrat
Rose,Max,M,House,NY,Democrat
Ocasio-Cortez,Alexandria,F,House,NY,Democrat
Delgado,Antonio,M,House,NY,Democrat
Brindisi,Anthony,M,House,NY,Democrat
Gonzalez,Anthony,M,House,OH,Republican
Horn,Kendra,F,House,OK,Democrat
Dean,Madeleine,F,House,PA,Democrat
Houlahan,Chrissy,F,House,PA,Democrat
Meuser,Daniel,M,House,PA,Republican
Joyce,John,M,House,PA,Republican
Reschenthaler,Guy,M,House,PA,Republican
Cunningham,Joe,M,House,SC,Democrat
Timmons,William,M,House,SC,Republican
Johnson,Dusty,M,House,SD,Republican
Burchett,Tim,M,House,TN,Republican
Rose,John,M,House,TN,Republican
Green,Mark,M,House,TN,Republican
Crenshaw,Dan,M,House,TX,Republican
Taylor,Van,M,House,TX,Republican
Gooden,Lance,M,House,TX,Republican
Wright,Ron,M,House,TX,Republican
Fletcher,Lizzie,F,House,TX,Democrat
Escobar,Veronica,F,House,TX,Democrat
Roy,Chip,M,House,TX,Republican
Garcia,Sylvia,F,House,TX,Democrat
Allred,Colin,M,House,TX,Democrat
McAdams,Ben,M,House,UT,Democrat
Luria,Elaine,F,House,VA,Democrat
Riggleman,Denver,M,House,VA,Republican
Cline,Ben,M,House,VA,Republican
Spanberger,Abigail,F,House,VA,Democrat
Wexton,Jennifer,F,House,VA,Democrat
Schrier,Kim,F,House,WA,Democrat
Steil,Bryan,M,House,WI,Republican
Miller,Carol,F,House,WV,Republican
Scott,Rick,M,Senate,FL,Republican
Braun,Mike,M,Senate,IN,Republican
Hawley,Joshua,M,Senate,MO,Republican
Romney,Mitt,M,Senate,UT,Republican
McSally,Martha,F,Senate,AZ,Republican
Golden,Jared,M,House,ME,Democrat
Keller,Fred,M,House,PA,Republican
Bishop,Dan,M,House,NC,Republican
Murphy,Gregory,M,House,NC,Republican
